algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
ppo,12,275000,5,27.030723000000002,56.79263928688767,36.111111,-79.789855,85.873606,919.2
ppo,12,300000,5,-10.937001200000001,29.918389120430486,-20.289855,-40.063091,44.52119,718.8
ppo,12,325000,5,270.9069886,278.2119426716069,105.047319,30.555556,784.057971,1000.0
ppo,12,350000,5,-66.7261878,14.634876511526507,-63.888889,-84.227129,-44.237918,1000.0
ppo,12,375000,5,-42.1321644,16.4248028845866,-47.169811,-58.990536,-10.780669,1000.0
ppo,12,400000,5,49.957879999999996,80.82041356551954,16.666667,-17.981073,204.347826,1000.0
ppo,12,425000,5,55.7417148,113.74226159263861,33.333333,-55.835962,255.072464,1000.0
ppo,12,450000,5,319.2426896,224.6066219807711,385.804416,30.555556,631.884058,1000.0
ppo,12,475000,5,287.78548820000003,291.90766873825487,133.438486,27.777778,823.913043,1000.0
ppo,12,500000,5,300.6518448,299.70026938770457,190.22082,13.888889,852.898551,1000.0
ppo,12,525000,5,433.3363196,265.7299080556937,379.245283,158.333333,863.768116,1000.0
ppo,12,550000,5,264.1683302,313.78997373074594,171.293375,-41.666667,838.405797,1000.0
ppo,12,575000,5,437.86640879999993,193.66097824971146,404.731861,186.111111,780.434783,1000.0
ppo,12,600000,5,454.4987172,250.98475585697136,435.849057,38.888889,816.666667,1000.0
ppo,12,625000,5,305.1838916,259.48027093306695,345.283019,11.111111,733.333333,1000.0
ppo,12,650000,5,287.695631,252.94910333516853,307.54717,25.0,722.463768,1000.0
ppo,12,675000,5,410.0880418,328.7095626223863,373.18612,32.344444,885.507246,974.4
ppo,12,700000,5,328.1394644,264.40470904227135,269.085174,38.888889,765.942029,1000.0
ppo,12,725000,5,328.01735399999995,264.867754281296,360.377358,19.444444,765.942029,1000.0
ppo,12,750000,5,295.5408592,271.49852552897596,285.498113,-29.266667,758.695652,898.0
ppo,12,775000,5,258.69274800000005,233.43876181588604,193.375394,30.555556,668.115942,1000.0
ppo,12,800000,5,326.8152274,250.20700039676157,383.018868,33.333333,729.710145,1000.0
ppo,12,825000,5,322.872201,255.00081878539856,367.924528,30.555556,744.202899,1000.0
ppo,12,850000,5,251.8910382,228.35900769622657,130.283912,33.333333,657.246377,1000.0
ppo,12,875000,5,245.8327318,211.97014239469078,168.138801,27.777778,621.014493,1000.0
ppo,12,900000,5,444.61872059999996,135.6911907560262,469.811321,244.444444,624.637681,1000.0
ppo,12,925000,5,248.08699740000003,230.62900064101896,105.047319,27.777778,646.376812,1000.0
ppo,12,950000,5,494.1831872000001,144.97659997275923,477.358491,280.555556,654.64684,1000.0
ppo,12,975000,5,509.06927320000005,166.50995474331097,481.132075,309.431861,729.710145,990.8
ppo,12,1000000,5,501.1196744,149.4930142438764,601.886792,255.555556,632.342007,1000.0
ppo,13,25000,5,5.879374599999998,39.91388973718687,-16.666667,-27.444795,82.156134,1000.0
ppo,13,50000,5,3.1777135999999997,21.868924803160713,-1.886792,-30.599369,27.777778,1000.0
ppo,13,75000,5,266.213827,238.30864867219518,330.555556,-17.981073,573.913043,1000.0
ppo,13,100000,5,367.14224320000005,302.1927788385888,313.341009,51.833333,896.376812,958.8
ppo,13,125000,5,516.1028088,258.4121893858097,420.446097,250.157729,854.716981,1000.0
ppo,13,150000,5,725.6674892,103.93218092162265,650.943396,625.0,859.107807,1000.0
ppo,13,175000,5,610.4505608000001,289.81254375685904,732.807571,44.444444,860.144928,1000.0
